T_01-basics: 141.4879ms
T_02-arithmetic: 311.11ms
T_03-bitwise: 348.1638ms
T_04-compare: 273.9014ms
T_05-bool: 233.3999ms
T_06-select-cat: 320.1263ms
T_07-registers: 226.1929ms
T_08-control-flow: 247.5066ms
T_09-hierarchy: 309.7437ms
T_10-bundle: 436.0202ms
T_11-memory: 244.0564ms
T_12-arithmetic2: 467.1847ms
T_13-inout: 143.8355ms
T_14-counter: 139.224ms
T_15-output-reg: 179.2128ms
